hero_id,hero_name,total_appearances,total_win_rate,Herald_appearances,Herald_win_rate,Guardian_appearances,Guardian_win_rate,Crusader_appearances,Crusader_win_rate,Archon_appearances,Archon_win_rate,Legend_appearances,Legend_win_rate,Ancient_appearances,Ancient_win_rate,Divine_appearances,Divine_win_rate,Immortal_appearances,Immortal_win_rate
1,Anti-Mage,400988,49.94,13713,49.45,49347,50.14,79057,49.96,95529,50.22,79592,49.69,43606,49.68,25451,50.05,0,0.00
2,Axe,678822,50.33,17996,51.91,67933,51.79,114926,51.01,153684,50.57,145753,49.96,91480,49.42,64914,48.42,0,0.00
3,Bane,132433,49.94,3664,48.31,12743,48.21,20488,48.51,26815,49.66,26359,50.23,18920,50.94,19694,52.52,0,0.00
4,Bloodseeker,122465,51.79,8087,51.18,20106,51.75,23788,51.36,25266,51.83,20259,52.17,10960,51.82,6584,52.26,0,0.00
5,Crystal Maiden,516031,51.57,18605,53.20,62070,52.84,92540,52.29,112442,51.54,103023,51.06,64336,50.58,44355,49.83,0,0.00
6,Drow Ranger,491752,46.51,18768,47.05,59053,46.88,89809,46.93,109232,46.58,98363,46.32,59615,45.99,40025,45.52,0,0.00
7,Earthshaker,532391,50.28,15127,49.30,52227,49.69,86134,50.01,115154,50.14,114678,50.50,75577,50.73,55432,50.97,0,0.00
8,Juggernaut,618973,52.51,17780,51.33,61990,51.62,102467,52.22,138374,52.59,135017,53.11,85786,52.98,57246,52.69,0,0.00
9,Mirana,522477,51.66,8632,51.87,37596,52.20,72118,51.97,109085,52.20,119063,51.80,86114,51.36,78390,50.39,0,0.00
10,Morphling,125030,47.90,3408,49.68,11870,46.83,19724,47.32,26740,47.34,26110,48.04,17946,48.78,15572,48.81,0,0.00
11,Shadow Fiend,828660,48.47,19901,49.38,73330,49.15,129972,48.80,180710,48.48,180322,48.16,121067,48.15,100666,48.18,0,0.00
12,Phantom Lancer,445663,53.35,13897,53.26,49670,52.92,79608,52.88,97586,53.51,89067,53.69,55858,53.46,46705,53.49,0,0.00
13,Puck,125350,46.56,2746,44.76,9740,45.08,16850,45.23,25069,45.92,27039,46.74,19676,47.43,20745,48.48,0,0.00
14,Pudge,1086926,51.52,25264,53.03,104205,52.51,187995,52.18,247063,51.67,226286,50.87,143754,50.91,119851,50.69,0,0.00
15,Razor,214240,50.18,8713,48.86,24620,49.68,35477,50.36,45014,50.60,43881,50.58,28262,50.20,19682,49.55,0,0.00
16,Sand King,154437,48.65,5618,51.10,18694,50.41,27907,49.61,33838,48.84,30735,47.53,18958,46.93,12445,47.06,0,0.00
17,Storm Spirit,248222,46.27,6755,45.37,23525,45.79,38718,45.51,51781,45.96,52966,46.00,36519,47.40,30973,47.43,0,0.00
18,Sven,335742,51.43,10113,50.34,33646,50.70,54999,51.43,70927,51.43,69514,51.72,46197,51.49,39274,51.73,0,0.00
19,Tiny,202327,43.78,6222,44.82,19726,44.20,30660,43.36,39898,43.22,41196,43.85,29389,43.43,27762,44.35,0,0.00
20,Vengeful Spirit,437734,53.16,10820,53.50,40883,53.56,70246,53.66,98731,53.48,99393,53.09,63109,52.87,42046,51.51,0,0.00
21,Windranger,652802,48.46,17371,49.32,59452,48.11,99099,48.13,137076,48.34,142047,48.44,96969,48.46,81459,49.34,0,0.00
22,Zeus,512840,50.00,15427,49.88,52702,50.54,86014,50.54,113910,50.30,109035,49.79,68585,49.22,49862,49.19,0,0.00
23,Kunkka,156796,49.55,4595,49.08,14958,48.04,23277,48.98,33616,49.37,34666,50.02,23749,50.58,16316,49.93,0,0.00
25,Lina,869896,49.73,23148,47.03,79159,48.75,134237,49.38,187521,49.83,191644,50.08,127422,50.53,102123,50.02,0,0.00
26,Lion,996978,48.92,26474,49.09,97946,48.83,166787,48.72,224976,48.96,217603,48.95,136150,48.87,93545,48.98,0,0.00
27,Shadow Shaman,594128,52.01,21077,51.44,71222,51.58,109691,52.04,133365,52.20,119238,52.19,70480,51.95,43745,51.62,0,0.00
28,Slardar,315202,50.44,9377,51.45,33170,51.29,53508,50.70,68879,51.00,65560,50.25,42238,49.75,31912,48.93,0,0.00
29,Tidehunter,298270,50.16,7396,49.82,27600,50.83,48468,50.57,67290,50.27,65813,50.33,41724,49.48,31408,49.97,0,0.00
30,Witch Doctor,604408,52.06,18945,53.19,69773,52.72,113422,53.05,144319,52.35,126340,51.46,70675,51.02,40664,49.85,0,0.00
31,Lich,395350,52.68,10290,52.09,36244,52.31,59511,52.81,83182,52.84,88147,53.10,61153,52.74,46067,52.06,0,0.00
32,Riki,180829,52.32,7976,52.07,23309,52.15,33471,51.98,39184,52.56,34361,52.83,21530,52.29,13277,51.63,0,0.00
33,Enigma,138960,51.24,3948,47.62,14679,49.50,23584,49.22,29454,50.43,26860,51.44,17621,52.93,18005,56.13,0,0.00
34,Tinker,180020,47.95,4742,45.74,17626,46.10,29981,47.29,38642,47.86,36774,47.89,25326,49.29,21430,50.15,0,0.00
35,Sniper,729258,50.23,26121,51.34,89305,51.01,140419,51.00,173507,50.31,149294,49.78,79657,49.25,41436,47.90,0,0.00
36,Necrophos,658171,51.17,17241,53.15,65099,52.65,107990,51.94,143518,51.08,141806,50.97,92353,50.26,70121,49.44,0,0.00
37,Warlock,219634,49.47,7038,51.05,25552,50.30,40965,50.26,51615,50.16,45152,48.87,25944,48.11,16138,46.83,0,0.00
38,Beastmaster,86632,44.26,2768,43.86,9662,44.19,15448,43.71,18554,43.84,16622,43.56,10259,44.43,10067,47.42,0,0.00
39,Queen of Pain,348525,47.02,8108,47.03,30025,47.82,54153,47.15,77830,46.96,79795,46.78,51356,47.09,37407,46.87,0,0.00
40,Venomancer,259020,47.64,9072,47.95,31180,47.61,48557,47.97,60103,47.99,52872,47.75,30070,47.06,17893,45.99,0,0.00
41,Faceless Void,310993,48.98,9566,49.25,35072,48.87,55289,48.46,70291,48.77,63922,48.85,38428,49.32,26244,50.40,0,0.00
42,Wraith King,436710,54.79,12684,56.87,47161,56.04,80362,55.71,104193,54.88,95594,54.06,54812,53.86,28112,52.80,0,0.00
43,Death Prophet,129587,48.08,6153,46.14,15358,46.95,20711,47.74,26260,48.15,25034,48.76,16996,48.64,13939,49.00,0,0.00
44,Phantom Assassin,487166,51.84,22681,52.43,71999,52.49,100779,52.18,111516,52.00,87888,51.53,45826,50.82,23791,50.13,0,0.00
45,Pugna,141683,50.26,5281,46.32,16375,48.68,24036,49.61,30093,49.93,28900,51.58,18619,51.67,13111,51.93,0,0.00
46,Templar Assassin,180896,46.31,5565,45.35,18559,45.89,30181,45.65,39088,46.06,37317,47.05,24519,46.60,19755,46.61,0,0.00
47,Viper,266678,48.20,15159,47.49,39143,47.31,49985,47.83,55913,48.19,47487,48.92,26963,48.98,18870,48.95,0,0.00
48,Luna,376972,50.57,10385,50.67,35091,51.26,56855,50.93,76079,50.62,78768,50.45,55896,50.01,52948,50.18,0,0.00
49,Dragon Knight,227136,51.43,6576,50.87,23059,51.48,38085,51.49,48776,51.04,46884,51.38,30765,51.83,24788,51.86,0,0.00
50,Dazzle,170637,51.36,5271,48.81,19695,50.03,31426,50.98,39597,51.17,34221,52.20,20224,52.70,15139,52.59,0,0.00
51,Clockwerk,152777,48.24,2609,48.83,10659,47.85,19869,47.27,30032,47.51,34023,47.82,25709,48.58,26119,50.19,0,0.00
52,Leshrac,68694,50.69,2202,48.59,6891,49.35,10726,50.66,13701,50.18,13215,51.58,9548,50.75,9981,51.84,0,0.00
53,Nature's Prophet,487448,41.87,13933,44.82,50027,42.78,82848,41.34,106601,41.08,101105,41.25,65231,41.97,51979,43.16,0,0.00
54,Lifestealer,554376,53.45,10115,50.88,42146,51.41,81243,52.58,121323,53.61,128847,54.01,87861,54.27,68908,53.83,0,0.00
55,Dark Seer,159862,48.94,3156,48.57,11725,48.84,21194,48.18,31132,47.95,34253,48.29,25778,49.28,28812,51.24,0,0.00
56,Clinkz,201027,49.71,9240,48.65,25973,49.36,34593,48.93,40708,49.47,37421,49.96,24992,50.55,20536,51.56,0,0.00
57,Omniknight,78796,51.18,2756,49.35,8753,48.75,12759,50.47,16793,51.61,15888,51.58,10166,52.42,8587,52.71,0,0.00
58,Enchantress,105089,47.32,5706,47.13,13943,46.77,17049,47.10,19696,47.39,18387,48.01,13115,47.34,12921,47.83,0,0.00
59,Huskar,135898,45.12,7763,45.12,18674,44.16,23371,44.29,26371,44.70,24066,45.69,15782,46.40,13179,46.45,0,0.00
60,Night Stalker,299191,51.68,4847,46.71,20607,48.61,40147,50.47,61715,51.30,69293,52.37,51483,53.11,44465,52.92,0,0.00
61,Broodmother,63551,51.48,3504,51.57,9419,51.79,12619,51.48,14207,51.98,10568,50.99,5910,51.02,4668,50.96,0,0.00
62,Bounty Hunter,325258,53.67,7302,50.03,26701,51.26,46211,52.18,65150,52.86,68435,54.25,50847,54.92,53095,56.26,0,0.00
63,Weaver,182374,47.15,8589,46.62,23030,46.76,31995,46.86,37637,46.99,34771,47.27,21309,47.47,16121,48.13,0,0.00
64,Jakiro,332520,48.30,10236,50.20,36247,49.79,59423,49.11,76574,48.29,70589,47.87,41786,47.02,25378,46.45,0,0.00
65,Batrider,31836,43.79,1065,46.10,3369,42.15,5062,42.65,6478,43.41,6072,43.15,4240,44.69,4363,47.19,0,0.00
66,Chen,12354,45.50,437,43.02,1276,42.63,2073,43.42,2527,44.40,2345,46.52,1585,47.00,1622,50.25,0,0.00
67,Spectre,469369,54.39,12358,55.49,48706,54.87,82285,54.66,105428,54.01,99273,54.21,62354,54.48,46221,53.99,0,0.00
68,Ancient Apparition,251219,51.96,7252,52.65,26150,52.59,43127,52.23,57885,52.43,54722,51.80,33196,51.30,20722,50.33,0,0.00
69,Doom,249352,46.79,4382,45.41,17357,45.38,33683,45.64,51275,45.98,55852,46.68,41868,47.50,39527,49.01,0,0.00
70,Ursa,197892,47.46,6777,42.91,20704,45.78,32131,47.42,42359,47.61,41798,47.90,26797,48.62,18427,48.41,0,0.00
